"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050808","GO:0050808","synapse organization","17/91","341/11564",1.02448603651917e-09,1.81538925671196e-06,1.5453563056126e-06,"IGSF9B/BSN/DNER/ERBB4/EPHA4/NLGN3/ITPKA/NRP2/ADGRL3/LRFN5/ROBO2/NFASC/SEZ6L/SRCIN1/LRRN1/POU4F1/NLGN1",17
"GO:0021953","GO:0021953","central nervous system neuron differentiation","11/91","168/11564",7.60045951077839e-08,6.73400712654965e-05,5.73234656786601e-05,"ERBB4/DRAXIN/EPHA4/NRP2/SFRP2/ROBO2/POU4F1/GLI3/SALL3/WNT1/PAX7",11
"GO:0007416","GO:0007416","synapse assembly","10/91","144/11564",1.78146680607067e-07,8.08692048867394e-05,6.88401868852902e-05,"BSN/DNER/ERBB4/NLGN3/ADGRL3/LRFN5/ROBO2/LRRN1/POU4F1/NLGN1",10
"GO:0007389","GO:0007389","pattern specification process","15/91","372/11564",1.8254899522966e-07,8.08692048867394e-05,6.88401868852902e-05,"ERBB4/WNT8B/NRP2/FEZF1/SFRP2/LRP2/ROBO2/CELSR2/SP8/ZBTB16/GLI3/ZIC1/LMX1B/WNT1/PAX7",15
"GO:0050807","GO:0050807","regulation of synapse organization","10/91","186/11564",1.89312129692965e-06,0.000559101823026557,0.000475937336578981,"EPHA4/NLGN3/ITPKA/NRP2/ADGRL3/LRFN5/ROBO2/SRCIN1/LRRN1/NLGN1",10
"GO:0050803","GO:0050803","regulation of synapse structure or activity","10/91","192/11564",2.52196341154276e-06,0.000638417023607682,0.000543454671991095,"EPHA4/NLGN3/ITPKA/NRP2/ADGRL3/LRFN5/ROBO2/SRCIN1/LRRN1/NLGN1",10
"GO:0007158","GO:0007158","neuron cell-cell adhesion","4/91","14/11564",3.38203659095323e-06,0.000742631046124558,0.000632167214623079,"ASTN1/NLGN3/CNTN4/NLGN1",4
"GO:0051961","GO:0051961","negative regulation of nervous system development","11/91","250/11564",3.98084039682178e-06,0.000742631046124558,0.000632167214623079,"LINGO1/ERBB4/DRAXIN/EPHA4/NLGN3/NEXMIF/CNTN4/SOX10/ROBO2/GLI3/NLGN1",11
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","9/91","159/11564",4.19092012485642e-06,0.000742631046124558,0.000632167214623079,"IGSF9B/CNTN4/ADGRL3/LRFN5/CDH6/CDH7/ROBO2/CELSR2/NLGN1",9
"GO:0061001","GO:0061001","regulation of dendritic spine morphogenesis","5/91","37/11564",9.65173592789372e-06,0.00155480691492979,0.00132353469709777,"EPHA4/NLGN3/ITPKA/SRCIN1/NLGN1",5
"GO:0099175","GO:0099175","regulation of postsynapse organization","6/91","82/11564",4.35635375639817e-05,0.0042221021986699,0.00359407891807887,"EPHA4/NLGN3/ITPKA/NRP2/SRCIN1/NLGN1",6
"GO:0031646","GO:0031646","positive regulation of neurological system process","5/91","53/11564",5.75475821080217e-05,0.00454056786610841,0.00386517390527109,"IGSF9B/NLGN3/SOX10/NLGN1/RIMS1",5
"GO:0051963","GO:0051963","regulation of synapse assembly","6/91","93/11564",8.84909755995176e-05,0.00501430066499075,0.0042684405684518,"NLGN3/ADGRL3/LRFN5/ROBO2/LRRN1/NLGN1",6
"GO:0001764","GO:0001764","neuron migration","7/91","135/11564",9.05517050111197e-05,0.00501430066499075,0.0042684405684518,"DNER/ERBB4/ASTN1/NEXMIF/NRP2/FEZF1/ADGRL3",7
"GO:0010769","GO:0010769","regulation of cell morphogenesis involved in differentiation","9/91","259/11564",0.000194979450834537,0.00786430979031481,0.00669452057117805,"OLFM1/LINGO1/DRAXIN/EPHA4/NLGN3/ITPKA/ROBO2/SRCIN1/NLGN1",9
"GO:0048167","GO:0048167","regulation of synaptic plasticity","7/91","153/11564",0.000197679311777286,0.00786430979031481,0.00669452057117805,"GRIA1/EPHA4/NLGN3/CNTN4/ITPKA/NLGN1/RIMS1",7
"GO:0048532","GO:0048532","anatomical structure arrangement","3/91","15/11564",0.000200303522404818,0.00786430979031481,0.00669452057117805,"KCNA2/NRP2/TFAP2A",3
