"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021516","GO:0021516","dorsal spinal cord development","4/59","21/11564",3.42819027454266e-06,0.00408640280725486,0.0037204886032142,"DRAXIN/LMO4/GSX2/PAX7",4
"GO:0061387","GO:0061387","regulation of extent of cell growth","6/59","95/11564",8.31623550388503e-06,0.00495647636031548,0.0045126520023713,"EFNA5/OLFM1/DRAXIN/PLXNA4/RTN4R/BARHL2",6
"GO:0021527","GO:0021527","spinal cord association neuron differentiation","3/59","14/11564",4.41238134719999e-05,0.013148896414656,0.0119714872867452,"LMO4/GSX2/PAX7",3
"GO:0030516","GO:0030516","regulation of axon extension","5/59","82/11564",5.87801653443594e-05,0.0140131914180953,0.0127583895726389,"OLFM1/DRAXIN/PLXNA4/RTN4R/BARHL2",5
"GO:0008361","GO:0008361","regulation of cell size","6/59","151/11564",0.000114302787229079,0.0194641317681517,0.0177212291177715,"EFNA5/OLFM1/DRAXIN/PLXNA4/RTN4R/BARHL2",6
"GO:0048675","GO:0048675","axon extension","5/59","105/11564",0.000190233221946678,0.0251953333956045,0.0229392341318158,"OLFM1/DRAXIN/PLXNA4/RTN4R/BARHL2",5
"GO:0003091","GO:0003091","renal water homeostasis","3/59","24/11564",0.000236602392902645,0.0282030052339953,0.0256775860086976,"TFAP2B/ADCY8/AKR1B1",3
"GO:0048588","GO:0048588","developmental cell growth","6/59","186/11564",0.000354685645433764,0.0352321074464206,0.032077271968615,"EFNA5/OLFM1/DRAXIN/PLXNA4/RTN4R/BARHL2",6
"GO:0061564","GO:0061564","axon development","9/59","448/11564",0.000406795781425852,0.037300043958432,0.0339600364898829,"TUBB3/PLP1/EFNA5/OLFM1/DRAXIN/PLXNA4/RTN4R/ANOS1/BARHL2",9
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","6/59","204/11564",0.0005794239644172,0.0493338118275216,0.0449162486702355,"EFNA5/OLFM1/DRAXIN/PLXNA4/RTN4R/BARHL2",6
"GO:1901655","GO:1901655","cellular response to ketone","4/59","77/11564",0.000626642522274601,0.049797192436755,0.0453381361729904,"EFNA5/SOX10/ADCY8/AKR1B1",4
